,transformed_x,transformed_y,Cell_Num,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells
213,10148.885821337015,12980.477223427331,994a00f3-3a49-4f7c-bacb-5e9b76ca672f,0,0,0,0,1
214,10214.15894300927,12984.421218694537,09844f91-2adb-4a90-8214-383bd433fe6e,1,0,0,0,0
215,10168.408597909682,12983.829619404458,6aca006a-4853-4a5a-a4e6-f39114832c0a,0,0,0,0,1
216,10189.311772825873,12981.266022480773,289371f4-bf7c-4b7c-9709-9e13b9e50a70,0,0,0,1,0
217,10042.989548412543,12988.759613488464,35c4acbb-1b5b-488a-be17-153ddedb6418,0,0,1,0,0
218,10231.315322421613,12988.956813251823,2f7b5c90-b3f5-4ca9-9f95-04dab5a403fe,0,0,1,0,0
219,10117.728258726089,12993.689607572473,82f66270-3176-41f9-9011-831de45ddf92,1,0,0,0,0
220,10248.471701833958,12994.675606389274,921b5922-b10c-4be5-b51e-6a8600d39bb9,0,0,1,0,0
221,10305.068033918358,13000.985998816803,e524d5cc-6cd4-42b8-8aa1-ca2fbf7ddb0d,0,1,0,0,0
222,10345.493985407218,13007.493591007691,3161cff3-45c9-412c-8ff5-f16ed7495357,0,1,0,0,0
223,10195.424965490041,13001.380398343523,6e51ad27-d72e-447c-9105-67e4322d4f75,1,0,0,0,0
224,10171.169394596727,13005.91599290081,25b3fea1-5b5b-433c-b8c7-014417a20891,1,0,0,0,0
225,10274.896470124235,13000.78879905344,556c61ab-e89f-4752-81de-086ecb17df0f,0,1,0,0,0
226,10138.23703411556,13007.09919148097,ed86c4ed-b1c6-48bb-9d80-d462232ed394,1,0,0,0,0
227,10276.67126799448,13021.10037467955,fba446d3-9455-4d9d-b789-06cf403982fb,0,1,0,0,0
228,10154.210214947741,13026.227568526918,d7fec620-5973-4adc-98a0-6393060d8a96,0,1,0,0,0
229,10050.877538946954,13027.8051666338,39bdaaec-d317-45cc-8569-bb14755336b9,0,1,0,0,0
230,10219.680536383356,13024.058371129955,195f5974-e680-4052-85db-6a08952e3f7a,0,1,0,0,0
231,10249.852100177479,13030.565963320845,190d983b-8f1e-4f79-8c6c-b24a61739c32,0,1,0,0,0
232,10128.574245710905,13030.763163084204,321ecb0d-bc2d-4fa6-bf86-e0495f682aed,0,1,0,0,0
